Population_ID,Generation,Population_Size,Mutation_Rate,Migration_Rate,Trait_Frequency_A,Trait_Frequency_B,Fitness_A,Fitness_B,Selection_Pressure,Gene_Expression_Levels,Allele_Frequencies,Heritability,Epistasis_Index,Inbreeding_Coefficient,Genetic_Drift_Index
Pop5,5,1421,0.00261,0.062,0.582,0.418,0.77,1,0.77,0.874540119,0.374053172,0.35702341,0.369081198,0.14299897,0.109045328
Pop3,4,1641,0.00443,0.049,0.664,0.336,0.98,0.82,1.2,1.450714306,0.516760379,0.348187279,0.418672559,0.201358082,0.121015349
Pop2,5,1745,0.00312,0.012,0.329,0.671,0.91,0.79,1.15,1.231993942,0.649178334,0.743752748,0.20018716,0.190040232,0.178182109
Pop3,2,1270,0.00347,0.016,0.336,0.664,0.99,0.96,1.03,1.098658484,0.592889955,0.34972772,0.34994964,0.038474976,0.101000658
Pop3,4,1257,0.00181,0.093,0.548,0.452,0.96,0.83,1.16,0.65601864,0.622624459,0.363169836,0.328698393,0.037312367,0.180447453
Pop5,1,855,0.00418,0.058,0.408,0.592,0.89,0.84,1.06,0.65599452,0.563513347,0.655638957,0.433132151,0.067043592,0.063220165
Pop4,1,1789,0.00364,0.042,0.633,0.367,0.85,0.82,1.04,0.558083612,0.576910626,0.469843905,0.462434824,0.090268682,0.166519766
Pop1,4,1509,0.00127,0.09,0.646,0.354,0.73,0.76,0.96,1.366176146,0.639678261,0.666026334,0.104862709,0.102113895,0.177132145
Pop4,2,1936,0.00482,0.063,0.562,0.438,0.9,0.95,0.95,1.101115012,0.399867204,0.239219695,0.369607968,0.169924304,0.077272648
Pop5,3,1381,0.004,0.014,0.38,0.62,0.82,0.86,0.95,1.208072578,0.495769985,0.492542716,0.12073432,0.014170108,0.11455198
Pop4,4,1408,0.00349,0.081,0.542,0.458,0.88,0.84,1.05,0.520584494,0.388483777,0.22016816,0.319543466,0.008668176,0.074824966
Pop2,1,806,0.00227,0.017,0.358,0.642,0.79,0.91,0.87,1.469909852,0.695067203,0.237591922,0.215053092,0.097977641,0.155990619
Pop4,1,1406,0.00217,0.06,0.301,0.699,0.89,1,0.89,1.332442641,0.677623736,0.743862472,0.22271064,0.174290923,0.130302165
Pop4,1,947,0.00059,0.081,0.569,0.431,0.91,0.89,1.02,0.712339111,0.315770725,0.283547223,0.241183401,0.048358836,0.145298502
Pop3,2,838,0.00188,0.072,0.307,0.693,0.85,0.94,0.9,0.681824967,0.582230069,0.519452409,0.34851698,0.16037612,0.079473045
Pop5,5,1335,0.00471,0.097,0.648,0.352,0.77,0.82,0.94,0.68340451,0.670099327,0.446657362,0.233619986,0.064957034,0.081761879
Pop3,3,670,0.00215,0.039,0.644,0.356,0.74,0.98,0.76,0.804242243,0.372230138,0.408405996,0.39307962,0.221521527,0.056224599
Pop2,1,1174,0.00456,0.072,0.361,0.639,0.83,0.83,1,1.024756432,0.527178092,0.739900007,0.261810954,0.223922486,0.09831013
Pop1,1,1692,0.00247,0.071,0.634,0.366,0.99,0.89,1.11,0.931945019,0.666195319,0.213094038,0.12734128,0.074321801,0.133961699
