Population_ID,Geographic_Location,Environment,Temperature_C,pH_Level,Dissolved_Oxygen,Salinity,Seasonality,Pollution_Level,Habitat_Connectivity,Predator_Density,Prey_Availability,Climate_Change_Impact,Hydrology
Pop5,Region_B,Brackish,9.639342670279701,8.399860129810198,7.401342979779439,34.27473521908904,Wet,69.36154055035789,0.5225137635826824,29,60,1.5538089235959087,Intermittent
Pop3,Region_B,Marine,22.599038333921722,7.845285889740154,4.410488285710334,27.096427082199273,Wet,22.494155177909303,0.1883610997249321,11,50,1.7610835161884157,Dynamic
Pop2,Region_C,Brackish,0.596543652572385,6.920056986506815,6.609557877301869,18.46003606477852,Wet,16.319466558533446,0.917155538044128,40,409,0.576265731487269,Intermittent
Pop3,Region_A,Freshwater,4.056970704415674,8.43601545367151,6.12373052516687,32.09646043012387,Dry,66.9929213537111,0.4614483037897069,17,351,0.3386370670309635,Dynamic
Pop3,Region_B,Freshwater,3.755229095642883,7.849757095474664,2.008215889687244,17.371211236238967,Dry,66.21210376805038,0.7372118876633212,15,270,0.5198832372498443,Stable
Pop5,Region_C,Marine,29.090089861140356,8.452415064874005,11.064050579485443,18.051298179884995,Wet,32.47282707841149,0.11813372156514279,27,296,0.7072986205542711,Intermittent
Pop4,Region_B,Freshwater,4.849205954674147,6.669204980486848,11.734233875424081,18.946675742639933,Wet,61.40367537865814,0.17826071801642285,15,687,1.7001250051484484,Intermittent
Pop1,Region_B,Marine,22.098259139620264,7.456562665788589,7.074163365886578,24.105418907773114,Dry,65.47631321957603,0.9464946861675672,15,938,1.9481378223918495,Intermittent
Pop4,Region_C,Marine,4.944686129288481,6.534451151176219,10.801547268797991,24.086535590902393,Wet,97.27592375822158,0.977919509395139,28,641,1.828857177193232,Stable
Pop5,Region_B,Brackish,29.594366953082123,7.609471160677228,4.579848753728763,26.483371810502412,Wet,79.6380941565371,0.7685329304941828,26,65,1.920332418099463,Stable
Pop4,Region_B,Freshwater,6.71697656215683,7.995707343205291,6.77553366857451,19.145282437498928,Wet,10.902637341368749,0.4668073690188752,16,157,0.21642986809384168,Intermittent
Pop2,Region_A,Freshwater,21.5467155532723,7.061792324898162,10.03215418223003,18.554644062408375,Wet,96.22567739451443,0.6717850732790829,9,323,1.7103089474416395,Stable
Pop4,Region_B,Brackish,14.81744354766286,7.046574691146983,4.196638646160621,7.829635597884945,Dry,56.97382097474085,0.04257162145085658,6,827,1.362894302918254,Stable
Pop4,Region_B,Marine,32.43278479680746,7.9381295780276675,6.762859902229098,26.511786141953255,Wet,52.404081375389,0.8566607878420502,1,259,1.9301949985301923,Intermittent
Pop3,Region_C,Marine,32.11325495449182,8.028514777519307,11.815232764632452,22.225497508534264,Wet,89.44508288694244,0.3958095758947229,12,296,1.0139927395896873,Intermittent
Pop5,Region_C,Freshwater,34.379823336262994,6.7792105055569625,10.4972570055489,26.1377288417733,Transitional,45.84252675915388,0.00771767542404278,44,696,1.5316642466579713,Stable
Pop3,Region_B,Brackish,7.917328748790961,7.573305159067512,7.255053422578716,18.881554373925482,Wet,23.350166608441114,0.11499905937867005,38,430,0.26171830342618585,Stable
Pop2,Region_C,Marine,27.88558312294528,8.002787787279416,10.152484750148833,5.022846853573314,Wet,16.44632253667754,0.6577757601858905,46,428,1.5299701697154735,Dynamic
